fra;clage_vacsi;jour;n_dose1;n_dose2;n_cum_dose1;n_cum_dose2
FR;24;2020-12-27;0;0;0;0
FR;24;2020-12-28;0;0;0;0
FR;24;2020-12-29;0;0;0;0
FR;24;2020-12-30;0;0;0;0
FR;24;2020-12-31;0;0;0;0
FR;24;2021-01-01;1;0;1;0
FR;24;2021-01-02;0;0;1;0
FR;24;2021-01-03;2;0;3;0
FR;24;2021-01-04;4;0;7;0
FR;24;2021-01-05;16;0;23;0
FR;24;2021-01-06;36;0;59;0
FR;24;2021-01-07;179;0;238;0
FR;24;2021-01-08;216;0;454;0
FR;24;2021-01-09;40;0;494;0
FR;24;2021-01-10;35;0;529;0
FR;24;2021-01-11;249;0;778;0
FR;24;2021-01-12;394;0;1172;0
FR;24;2021-01-13;473;0;1645;0
FR;24;2021-01-14;607;0;2252;0
FR;24;2021-01-15;583;0;2835;0
FR;24;2021-01-16;116;4;2951;4
FR;24;2021-01-17;94;0;3045;4
FR;24;2021-01-18;506;0;3551;4
FR;24;2021-01-19;593;0;4144;4
FR;24;2021-01-20;648;0;4792;4
FR;24;2021-01-21;743;0;5535;4
FR;24;2021-01-22;597;2;6132;6
FR;24;2021-01-23;115;0;6247;6
FR;24;2021-01-24;22;1;6269;7
FR;24;2021-01-25;293;4;6562;11
FR;24;2021-01-26;357;12;6919;23
FR;24;2021-01-27;440;12;7359;35
FR;24;2021-01-28;591;53;7950;88
FR;24;2021-01-29;466;95;8416;183
FR;24;2021-01-30;86;16;8502;199
FR;24;2021-01-31;25;13;8527;212
FR;24;2021-02-01;153;151;8680;363
FR;24;2021-02-02;213;205;8893;568
FR;24;2021-02-03;215;226;9108;794
FR;24;2021-02-04;357;410;9465;1204
FR;24;2021-02-05;341;354;9806;1558
FR;24;2021-02-06;80;64;9886;1622
FR;24;2021-02-07;168;43;10054;1665
FR;24;2021-02-08;387;403;10441;2068
FR;24;2021-02-09;738;509;11179;2577
FR;24;2021-02-10;1064;665;12243;3242
FR;24;2021-02-11;1550;766;13793;4008
FR;24;2021-02-12;1584;551;15377;4559
FR;24;2021-02-13;289;82;15666;4641
FR;24;2021-02-14;58;21;15724;4662
FR;24;2021-02-15;1020;352;16744;5014
FR;24;2021-02-16;1541;431;18285;5445
FR;24;2021-02-17;1474;482;19759;5927
FR;24;2021-02-18;1895;634;21654;6561
FR;24;2021-02-19;1832;535;23486;7096
FR;24;2021-02-20;324;67;23810;7163
FR;24;2021-02-21;38;10;23848;7173
FR;24;2021-02-22;1142;228;24990;7401
FR;24;2021-02-23;1555;305;26545;7706
FR;24;2021-02-24;1634;303;28179;8009
FR;24;2021-02-25;2237;373;30416;8382
FR;24;2021-02-26;2139;307;32555;8689
FR;24;2021-02-27;523;64;33078;8753
FR;24;2021-02-28;90;12;33168;8765
FR;24;2021-03-01;1232;179;34400;8944
FR;24;2021-03-02;1632;269;36032;9213
FR;24;2021-03-03;1732;285;37764;9498
FR;24;2021-03-04;2081;475;39845;9973
FR;24;2021-03-05;3229;363;43074;10336
FR;24;2021-03-06;1687;63;44761;10399
FR;24;2021-03-07;972;7;45733;10406
FR;24;2021-03-08;1938;131;47671;10537
FR;24;2021-03-09;2577;200;50248;10737
FR;24;2021-03-10;2390;265;52638;11002
FR;24;2021-03-11;2875;411;55513;11413
FR;24;2021-03-12;3769;309;59282;11722
FR;24;2021-03-13;1462;52;60744;11774
FR;24;2021-03-14;529;15;61273;11789
FR;24;2021-03-15;1814;107;63087;11896
FR;24;2021-03-16;820;223;63907;12119
FR;24;2021-03-17;1063;248;64970;12367
FR;24;2021-03-18;1291;317;66261;12684
FR;24;2021-03-19;1852;240;68113;12924
FR;24;2021-03-20;824;43;68937;12967
FR;24;2021-03-21;631;16;69568;12983
FR;24;2021-03-22;1489;160;71057;13143
FR;24;2021-03-23;1784;254;72841;13397
FR;24;2021-03-24;2144;230;74985;13627
FR;24;2021-03-25;2547;294;77532;13921
FR;24;2021-03-26;3126;260;80658;14181
FR;24;2021-03-27;1873;88;82531;14269
FR;24;2021-03-28;1005;11;83536;14280
FR;24;2021-03-29;2254;178;85790;14458
FR;24;2021-03-30;3323;247;89113;14705
FR;24;2021-03-31;3859;238;92972;14943
FR;24;2021-04-01;5021;323;97993;15266
FR;24;2021-04-02;4276;320;102269;15586
FR;24;2021-04-03;1705;202;103974;15788
FR;24;2021-04-04;946;36;104920;15824
FR;24;2021-04-05;1079;37;105999;15861
FR;24;2021-04-06;3369;365;109368;16226
FR;24;2021-04-07;4591;422;113959;16648
FR;24;2021-04-08;6034;599;119993;17247
FR;24;2021-04-09;5566;574;125559;17821
FR;24;2021-04-10;2582;345;128141;18166
FR;24;2021-04-11;1236;187;129377;18353
FR;24;2021-04-12;3298;594;132675;18947
FR;24;2021-04-13;4576;729;137251;19676
FR;24;2021-04-14;4707;894;141958;20570
FR;24;2021-04-15;4944;1144;146902;21714
FR;24;2021-04-16;4579;1251;151481;22965
FR;24;2021-04-17;2081;637;153562;23602
FR;24;2021-04-18;711;371;154273;23973
FR;24;2021-04-19;2784;1237;157057;25210
FR;24;2021-04-20;2978;1815;160035;27025
FR;24;2021-04-21;3205;2142;163240;29167
FR;24;2021-04-22;3783;2721;167023;31888
FR;24;2021-04-23;3860;2807;170883;34695
FR;24;2021-04-24;2286;1409;173169;36104
FR;29;2020-12-27;0;0;0;0
FR;29;2020-12-28;1;0;1;0
FR;29;2020-12-29;0;0;1;0
FR;29;2020-12-30;0;0;1;0
FR;29;2020-12-31;0;0;1;0
FR;29;2021-01-01;2;0;3;0
FR;29;2021-01-02;2;0;5;0
FR;29;2021-01-03;2;0;7;0
FR;29;2021-01-04;10;0;17;0
FR;29;2021-01-05;42;0;59;0
FR;29;2021-01-06;142;0;201;0
FR;29;2021-01-07;305;0;506;0
FR;29;2021-01-08;514;0;1020;0
FR;29;2021-01-09;112;0;1132;0
FR;29;2021-01-10;91;0;1223;0
FR;29;2021-01-11;640;0;1863;0
FR;29;2021-01-12;920;0;2783;0
FR;29;2021-01-13;1198;0;3981;0
FR;29;2021-01-14;1549;0;5530;0
FR;29;2021-01-15;1292;0;6822;0
FR;29;2021-01-16;191;6;7013;6
FR;29;2021-01-17;158;0;7171;6
FR;29;2021-01-18;1036;1;8207;7
FR;29;2021-01-19;1139;3;9346;10
FR;29;2021-01-20;1184;0;10530;10
FR;29;2021-01-21;1439;2;11969;12
FR;29;2021-01-22;1136;2;13105;14
FR;29;2021-01-23;166;0;13271;14
FR;29;2021-01-24;51;1;13322;15
FR;29;2021-01-25;530;11;13852;26
FR;29;2021-01-26;653;30;14505;56
FR;29;2021-01-27;715;71;15220;127
FR;29;2021-01-28;1027;137;16247;264
FR;29;2021-01-29;797;172;17044;436
FR;29;2021-01-30;140;39;17184;475
FR;29;2021-01-31;33;33;17217;508
FR;29;2021-02-01;260;319;17477;827
FR;29;2021-02-02;402;445;17879;1272
FR;29;2021-02-03;451;530;18330;1802
FR;29;2021-02-04;601;812;18931;2614
FR;29;2021-02-05;526;806;19457;3420
FR;29;2021-02-06;139;115;19596;3535
FR;29;2021-02-07;304;75;19900;3610
FR;29;2021-02-08;597;883;20497;4493
FR;29;2021-02-09;1233;1152;21730;5645
FR;29;2021-02-10;1685;1323;23415;6968
FR;29;2021-02-11;2423;1579;25838;8547
FR;29;2021-02-12;2179;1221;28017;9768
FR;29;2021-02-13;421;125;28438;9893
FR;29;2021-02-14;128;60;28566;9953
FR;29;2021-02-15;1541;774;30107;10727
FR;29;2021-02-16;1887;895;31994;11622
FR;29;2021-02-17;1859;937;33853;12559
FR;29;2021-02-18;2352;1173;36205;13732
FR;29;2021-02-19;2302;896;38507;14628
FR;29;2021-02-20;377;93;38884;14721
FR;29;2021-02-21;86;24;38970;14745
FR;29;2021-02-22;1334;454;40304;15199
FR;29;2021-02-23;1740;600;42044;15799
FR;29;2021-02-24;1761;488;43805;16287
FR;29;2021-02-25;2363;736;46168;17023
FR;29;2021-02-26;2537;546;48705;17569
FR;29;2021-02-27;599;80;49304;17649
FR;29;2021-02-28;111;26;49415;17675
FR;29;2021-03-01;1259;291;50674;17966
FR;29;2021-03-02;1771;488;52445;18454
FR;29;2021-03-03;1958;469;54403;18923
FR;29;2021-03-04;2421;713;56824;19636
FR;29;2021-03-05;3546;539;60370;20175
FR;29;2021-03-06;1599;74;61969;20249
FR;29;2021-03-07;817;17;62786;20266
FR;29;2021-03-08;1921;258;64707;20524
FR;29;2021-03-09;2619;307;67326;20831
FR;29;2021-03-10;2506;387;69832;21218
FR;29;2021-03-11;3285;648;73117;21866
FR;29;2021-03-12;3897;556;77014;22422
FR;29;2021-03-13;1608;66;78622;22488
FR;29;2021-03-14;560;21;79182;22509
FR;29;2021-03-15;1866;216;81048;22725
FR;29;2021-03-16;1107;390;82155;23115
FR;29;2021-03-17;1366;412;83521;23527
FR;29;2021-03-18;1631;497;85152;24024
FR;29;2021-03-19;2210;358;87362;24382
FR;29;2021-03-20;984;67;88346;24449
FR;29;2021-03-21;724;10;89070;24459
FR;29;2021-03-22;1644;237;90714;24696
FR;29;2021-03-23;2193;400;92907;25096
FR;29;2021-03-24;2513;351;95420;25447
FR;29;2021-03-25;3339;410;98759;25857
FR;29;2021-03-26;3677;377;102436;26234
FR;29;2021-03-27;2134;113;104570;26347
FR;29;2021-03-28;952;22;105522;26369
FR;29;2021-03-29;2606;277;108128;26646
FR;29;2021-03-30;3741;403;111869;27049
FR;29;2021-03-31;4246;400;116115;27449
FR;29;2021-04-01;5520;536;121635;27985
FR;29;2021-04-02;4756;496;126391;28481
FR;29;2021-04-03;1736;206;128127;28687
FR;29;2021-04-04;893;66;129020;28753
FR;29;2021-04-05;904;45;129924;28798
FR;29;2021-04-06;3318;567;133242;29365
FR;29;2021-04-07;4354;666;137596;30031
FR;29;2021-04-08;5975;856;143571;30887
FR;29;2021-04-09;6096;790;149667;31677
FR;29;2021-04-10;2609;411;152276;32088
FR;29;2021-04-11;1152;248;153428;32336
FR;29;2021-04-12;3481;677;156909;33013
FR;29;2021-04-13;4680;1053;161589;34066
FR;29;2021-04-14;4576;1060;166165;35126
FR;29;2021-04-15;5346;1359;171511;36485
FR;29;2021-04-16;4568;1447;176079;37932
FR;29;2021-04-17;2189;740;178268;38672
FR;29;2021-04-18;756;473;179024;39145
FR;29;2021-04-19;2681;1473;181705;40618
FR;29;2021-04-20;3318;2184;185023;42802
FR;29;2021-04-21;3213;2472;188236;45274
FR;29;2021-04-22;4135;3386;192371;48660
FR;29;2021-04-23;4188;3136;196559;51796
FR;29;2021-04-24;2545;1559;199104;53355
FR;39;2020-12-27;0;0;0;0
FR;39;2020-12-28;0;0;0;0
FR;39;2020-12-29;1;0;1;0
FR;39;2020-12-30;3;0;4;0
FR;39;2020-12-31;1;0;5;0
FR;39;2021-01-01;3;0;8;0
FR;39;2021-01-02;0;0;8;0
FR;39;2021-01-03;2;0;10;0
FR;39;2021-01-04;23;0;33;0
FR;39;2021-01-05;138;0;171;0
FR;39;2021-01-06;382;0;553;0
FR;39;2021-01-07;1169;0;1722;0
FR;39;2021-01-08;1767;0;3489;0
FR;39;2021-01-09;472;0;3961;0
FR;39;2021-01-10;307;0;4268;0
FR;39;2021-01-11;2191;0;6459;0
FR;39;2021-01-12;3374;0;9833;0
FR;39;2021-01-13;3456;0;13289;0
FR;39;2021-01-14;4744;0;18033;0
FR;39;2021-01-15;4341;0;22374;0
FR;39;2021-01-16;768;38;23142;38
FR;39;2021-01-17;487;2;23629;40
FR;39;2021-01-18;3049;5;26678;45
FR;39;2021-01-19;3970;7;30648;52
FR;39;2021-01-20;3864;1;34512;53
FR;39;2021-01-21;5087;7;39599;60
FR;39;2021-01-22;3904;4;43503;64
FR;39;2021-01-23;587;1;44090;65
FR;39;2021-01-24;181;0;44271;65
FR;39;2021-01-25;1579;37;45850;102
FR;39;2021-01-26;2140;98;47990;200
FR;39;2021-01-27;2262;228;50252;428
FR;39;2021-01-28;3456;533;53708;961
FR;39;2021-01-29;2657;760;56365;1721
FR;39;2021-01-30;393;218;56758;1939
FR;39;2021-01-31;89;84;56847;2023
FR;39;2021-02-01;744;1174;57591;3197
FR;39;2021-02-02;1317;1876;58908;5073
FR;39;2021-02-03;1344;1827;60252;6900
FR;39;2021-02-04;1949;2938;62201;9838
FR;39;2021-02-05;1622;3005;63823;12843
FR;39;2021-02-06;391;451;64214;13294
FR;39;2021-02-07;547;257;64761;13551
FR;39;2021-02-08;1496;2550;66257;16101
FR;39;2021-02-09;3136;3764;69393;19865
FR;39;2021-02-10;3817;3949;73210;23814
FR;39;2021-02-11;6075;5468;79285;29282
FR;39;2021-02-12;5713;4111;84998;33393
FR;39;2021-02-13;1220;488;86218;33881
FR;39;2021-02-14;381;215;86599;34096
FR;39;2021-02-15;3346;2287;89945;36383
FR;39;2021-02-16;4356;2806;94301;39189
FR;39;2021-02-17;3946;2869;98247;42058
FR;39;2021-02-18;5873;4031;104120;46089
FR;39;2021-02-19;5742;2990;109862;49079
FR;39;2021-02-20;1121;396;110983;49475
FR;39;2021-02-21;183;77;111166;49552
FR;39;2021-02-22;2918;1403;114084;50955
FR;39;2021-02-23;3844;1751;117928;52706
FR;39;2021-02-24;3640;1619;121568;54325
FR;39;2021-02-25;5496;2175;127064;56500
FR;39;2021-02-26;6001;1679;133065;58179
FR;39;2021-02-27;1639;243;134704;58422
FR;39;2021-02-28;238;72;134942;58494
FR;39;2021-03-01;2890;848;137832;59342
FR;39;2021-03-02;4166;1498;141998;60840
FR;39;2021-03-03;4177;1321;146175;62161
FR;39;2021-03-04;6162;2329;152337;64490
FR;39;2021-03-05;9008;1744;161345;66234
FR;39;2021-03-06;4838;253;166183;66487
FR;39;2021-03-07;2626;46;168809;66533
FR;39;2021-03-08;4635;733;173444;67266
FR;39;2021-03-09;6787;1149;180231;68415
FR;39;2021-03-10;5994;1292;186225;69707
FR;39;2021-03-11;8540;2107;194765;71814
FR;39;2021-03-12;11259;1696;206024;73510
FR;39;2021-03-13;5181;261;211205;73771
FR;39;2021-03-14;1732;40;212937;73811
FR;39;2021-03-15;4724;686;217661;74497
FR;39;2021-03-16;3334;1135;220995;75632
FR;39;2021-03-17;3415;1163;224410;76795
FR;39;2021-03-18;4601;1607;229011;78402
FR;39;2021-03-19;6195;1157;235206;79559
FR;39;2021-03-20;3155;214;238361;79773
FR;39;2021-03-21;2065;25;240426;79798
FR;39;2021-03-22;4411;756;244837;80554
FR;39;2021-03-23;6121;1189;250958;81743
FR;39;2021-03-24;6258;955;257216;82698
FR;39;2021-03-25;8961;1196;266177;83894
