fra;jour;P_f;P_h;P;pop_f;pop_h;pop;cl_age90
FR;2020-05-15;39;52;91;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-15;54;46;104;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-15;112;44;162;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-15;81;28;115;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-15;565;447;1046;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-16;6;4;10;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-16;5;8;13;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-16;22;15;37;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-16;9;17;26;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-16;22;17;39;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-16;11;21;32;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-16;11;11;22;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-16;15;13;28;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-16;25;22;48;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-16;34;3;37;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-16;160;131;292;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-17;2;4;6;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-17;3;1;4;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-17;8;9;17;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-17;6;4;10;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-17;8;6;14;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-17;15;3;18;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-17;7;9;16;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-17;3;13;16;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-17;15;7;22;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-17;11;6;17;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-17;78;62;140;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-18;20;13;35;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-18;30;20;50;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-18;80;45;126;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-18;57;50;110;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-18;62;56;118;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-18;71;46;117;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-18;53;60;113;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-18;47;58;105;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-18;126;62;188;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-18;135;26;161;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-18;681;437;1124;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-19;7;13;21;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-19;25;16;42;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-19;66;49;115;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-19;71;48;121;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-19;74;64;138;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-19;68;58;126;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-19;52;50;104;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-19;45;48;93;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-19;91;52;143;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-19;119;29;148;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-19;618;427;1053;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-20;16;10;27;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-20;38;21;59;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-20;64;52;117;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-20;68;62;131;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-20;87;58;147;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-20;82;74;156;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-20;39;45;84;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-20;37;44;81;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-20;107;46;153;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-20;80;23;104;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-20;618;435;1060;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-21;4;4;8;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-21;5;4;9;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-21;9;9;18;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-21;12;4;16;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-21;12;6;18;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-21;7;10;17;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-21;4;10;14;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-21;12;15;27;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-21;20;10;30;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-21;17;8;25;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-21;102;80;182;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-22;11;12;24;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-22;18;18;37;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-22;52;63;115;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-22;45;44;90;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-22;60;48;109;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-22;56;42;98;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-22;30;31;62;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-22;45;39;85;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-22;68;38;106;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-22;71;16;87;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-22;456;353;815;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-23;4;2;6;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-23;17;10;29;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-23;19;11;31;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-23;19;12;33;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-23;13;10;23;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-23;15;20;37;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-23;7;14;21;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-23;13;16;29;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-23;21;15;36;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-23;17;4;22;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-23;145;114;267;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-24;2;2;4;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-24;13;6;21;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-24;14;12;26;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-24;5;6;13;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-24;5;8;13;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-24;3;6;9;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-24;4;9;13;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-24;5;11;16;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-24;14;2;16;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-24;7;1;8;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-24;72;63;139;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-25;8;7;16;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-25;19;25;45;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-25;46;37;83;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-25;59;32;92;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-25;59;37;96;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-25;47;27;74;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-25;30;39;70;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-25;26;29;55;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-25;75;30;105;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-25;61;10;71;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-25;430;273;707;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-26;10;8;27;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-26;17;28;45;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-26;52;45;97;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-26;46;35;81;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-26;49;55;104;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-26;65;34;99;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-26;33;32;65;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-26;30;21;51;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-26;60;32;94;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-26;83;15;98;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-26;445;305;763;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-27;7;16;23;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-27;20;25;45;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-27;53;30;85;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-27;38;42;80;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-27;67;44;111;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-27;49;39;89;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-27;37;34;71;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-27;26;35;61;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-27;49;31;80;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-27;73;11;84;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-27;419;307;731;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-28;11;9;20;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-28;24;28;52;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-28;49;50;101;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-28;46;42;91;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-28;48;45;94;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-28;33;31;64;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-28;24;28;54;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-28;21;17;40;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-28;44;21;66;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-28;44;6;50;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-28;345;277;642;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-29;10;11;26;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-29;14;26;40;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-29;41;37;79;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-29;40;26;66;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-29;31;35;66;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-29;51;23;76;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-29;29;23;52;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-29;23;24;48;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-29;37;23;60;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-29;36;12;48;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-29;312;241;581;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-30;7;5;12;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-30;6;19;25;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-30;21;56;77;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-30;24;35;59;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-30;18;28;47;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-30;18;15;33;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-30;12;10;22;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-30;9;12;21;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-30;18;7;25;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-30;18;3;21;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-30;151;190;342;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-31;3;3;6;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-31;7;18;25;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-31;16;34;51;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-31;13;22;35;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-31;9;11;20;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-31;6;7;14;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-31;6;5;11;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-31;6;3;11;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-31;3;6;9;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-31;2;2;4;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-31;71;111;186;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-01;1;2;3;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-01;2;8;10;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-01;8;30;38;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-01;11;8;19;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-01;10;10;20;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-01;13;9;22;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-06-01;1;4;5;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-06-01;3;9;12;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-06-01;10;3;13;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-06-01;11;4;15;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-06-01;70;87;161;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-02;19;13;32;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-02;24;11;36;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-02;59;44;103;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-02;54;19;73;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-02;48;57;105;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-02;48;38;86;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-06-02;37;33;70;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-06-02;37;23;61;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-06-02;54;27;81;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-06-02;64;14;79;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-06-02;444;280;727;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-03;5;8;15;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-03;18;17;36;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-03;54;31;85;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-03;59;36;101;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-03;50;28;81;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-03;42;32;74;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-06-03;27;29;56;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-06-03;25;31;56;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-06-03;55;32;87;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-06-03;45;7;52;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-06-03;380;252;661;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-04;8;10;25;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-04;14;9;24;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-04;45;31;77;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-04;52;58;110;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-04;49;41;91;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-04;47;42;90;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-06-04;22;33;56;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-06-04;13;17;30;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-06-04;42;20;62;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-06-04;42;16;58;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-06-04;334;280;628;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-05;7;10;17;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-05;16;31;47;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-05;30;37;70;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-05;38;42;82;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-05;40;29;69;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-05;37;27;66;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-06-05;30;28;59;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-06-05;25;20;46;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-06-05;35;21;56;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-06-05;28;9;37;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-06-05;286;254;551;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-06;3;10;13;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-06;10;7;18;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-06;19;20;39;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-06;28;20;48;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-06;21;24;45;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-06;15;17;32;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-06-06;11;14;26;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-06-06;12;12;24;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-06-06;14;9;23;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-06-06;11;2;13;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-06-06;144;137;284;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-07;1;2;4;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-07;5;8;13;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-07;7;3;11;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-07;5;8;13;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-07;11;6;19;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-07;8;6;14;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-06-07;4;8;12;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-06-07;2;4;6;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-06-07;6;8;14;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-06-07;9;3;12;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-06-07;58;56;118;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-08;15;12;27;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-08;19;16;37;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-08;42;39;84;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-08;46;38;85;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-08;50;35;88;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-08;42;25;67;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-06-08;23;29;53;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-06-08;21;15;36;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-06-08;27;19;46;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-06-08;27;11;40;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-06-08;312;239;563;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-09;11;15;31;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-09;23;16;43;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-09;31;45;81;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-09;44;35;84;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-09;46;40;91;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-09;29;39;73;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-06-09;24;20;47;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-06-09;13;20;34;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-06-09;27;8;37;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-06-09;31;8;39;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-06-09;279;246;560;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-10;8;12;23;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-10;16;18;38;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-10;37;40;89;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-10;43;35;87;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-10;26;24;62;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-10;31;32;76;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-06-10;21;22;48;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-06-10;27;21;51;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-06-10;25;21;54;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-06-10;15;6;26;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-06-10;249;231;554;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-11;17;26;50;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-11;17;19;51;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-11;49;35;97;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-11;63;47;123;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-11;33;41;86;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-11;42;33;82;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-06-11;13;23;44;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-06-11;16;20;38;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-06-11;14;13;34;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-06-11;16;2;22;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-06-11;280;259;627;34692807.7476749;32422187.2523251;67114995;0
FR;2020-06-12;14;21;46;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-06-12;28;27;64;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-06-12;47;36;97;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-06-12;40;44;88;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-06-12;44;34;85;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-06-12;22;38;71;4494308.44474725;4298366.32326346;8792674.76801071;59
