fra;jour;clage_vacsi;n_dose1
FR;2021-01-21;0;137810,00
FR;2021-01-21;24;460,00
FR;2021-01-21;29;1083,00
FR;2021-01-21;39;4087,00
FR;2021-01-21;49;6656,00
FR;2021-01-21;59;15590,00
FR;2021-01-21;64;6523,00
FR;2021-01-21;69;4738,00
FR;2021-01-21;74;6167,00
FR;2021-01-21;79;25471,00
FR;2021-01-21;80;67024,00
FR;2021-01-22;0;106620,00
FR;2021-01-22;24;394,00
FR;2021-01-22;29;919,00
FR;2021-01-22;39;3164,00
FR;2021-01-22;49;5082,00
FR;2021-01-22;59;11689,00
FR;2021-01-22;64;5181,00
FR;2021-01-22;69;3808,00
FR;2021-01-22;74;4873,00
FR;2021-01-22;79;23641,00
FR;2021-01-22;80;47857,00
FR;2021-01-23;0;34975,00
FR;2021-01-23;24;74,00
FR;2021-01-23;29;156,00
FR;2021-01-23;39;510,00
FR;2021-01-23;49;816,00
FR;2021-01-23;59;2455,00
FR;2021-01-23;64;1324,00
FR;2021-01-23;69;1164,00
FR;2021-01-23;74;1598,00
FR;2021-01-23;79;9977,00
FR;2021-01-23;80;16888,00
FR;2021-01-24;0;8599,00
FR;2021-01-24;24;15,00
FR;2021-01-24;29;36,00
FR;2021-01-24;39;148,00
FR;2021-01-24;49;244,00
FR;2021-01-24;59;635,00
FR;2021-01-24;64;352,00
FR;2021-01-24;69;371,00
FR;2021-01-24;74;477,00
FR;2021-01-24;79;1927,00
FR;2021-01-24;80;4394,00
FR;2021-01-25;0;69251,00
FR;2021-01-25;24;203,00
FR;2021-01-25;29;418,00
FR;2021-01-25;39;1305,00
FR;2021-01-25;49;2032,00
FR;2021-01-25;59;5491,00
FR;2021-01-25;64;2622,00
FR;2021-01-25;69;2274,00
FR;2021-01-25;74;3216,00
FR;2021-01-25;79;19080,00
FR;2021-01-25;80;32604,00
FR;2021-01-26;0;86082,00
FR;2021-01-26;24;199,00
FR;2021-01-26;29;477,00
FR;2021-01-26;39;1649,00
FR;2021-01-26;49;2709,00
FR;2021-01-26;59;6737,00
FR;2021-01-26;64;3102,00
FR;2021-01-26;69;2623,00
FR;2021-01-26;74;3909,00
FR;2021-01-26;79;21698,00
FR;2021-01-26;80;42969,00
